GeneralParams(name='runs/CIFAR10/20230907_1333_746630',
              console=True,
              tensorboard=True,
              load=False,
              test=False,
              cuda=True,
              num_workers=4,
              gpu='1',
              visualize=False)
DatasetParams(dataset='CIFAR10', image_size=32)
TrainerParams(batch_size=128,
              optimizer='SGD',
              lr=0.001,
              lr_morpho=1,
              weight_decay=0,
              max_epochs=400,
              scheduler='CosineAnnealingLR',
              amp=True)
ModelParams(model='MobileNetV2-31',
            morpho_type='infinity',
            expansion=8,
            morpho_init='normal',
            relu=False,
            conv_type='norm1')
Using cuda backend
| epoch   1 | time 19.02s | loss 1.5778 | train_acc 41.38 | val_acc 53.28 | lr 1.00e-03| best
| epoch   2 | time 18.22s | loss 1.1194 | train_acc 60.03 | val_acc 63.02 | lr 1.00e-03| best
| epoch   3 | time 18.23s | loss 0.9667 | train_acc 65.90 | val_acc 66.26 | lr 1.00e-03| best
| epoch   4 | time 18.25s | loss 0.8774 | train_acc 69.34 | val_acc 68.47 | lr 1.00e-03| best
| epoch   5 | time 18.25s | loss 0.8258 | train_acc 71.33 | val_acc 70.14 | lr 1.00e-03| best
| epoch   6 | time 18.29s | loss 0.7935 | train_acc 72.50 | val_acc 69.71 | lr 1.00e-03|
| epoch   7 | time 18.35s | loss 0.7740 | train_acc 73.08 | val_acc 73.77 | lr 9.99e-04| best
| epoch   8 | time 18.29s | loss 0.7536 | train_acc 74.03 | val_acc 74.42 | lr 9.99e-04| best
| epoch   9 | time 18.30s | loss 0.7415 | train_acc 74.52 | val_acc 75.71 | lr 9.99e-04| best
| epoch  10 | time 18.34s | loss 0.7247 | train_acc 74.95 | val_acc 73.03 | lr 9.99e-04|
| epoch  11 | time 18.29s | loss 0.7122 | train_acc 75.41 | val_acc 75.27 | lr 9.98e-04|
| epoch  12 | time 18.34s | loss 0.7021 | train_acc 75.90 | val_acc 73.99 | lr 9.98e-04|
| epoch  13 | time 18.31s | loss 0.6969 | train_acc 76.17 | val_acc 74.10 | lr 9.98e-04|
| epoch  14 | time 18.22s | loss 0.6830 | train_acc 76.62 | val_acc 76.26 | lr 9.97e-04| best
| epoch  15 | time 18.22s | loss 0.6784 | train_acc 76.42 | val_acc 72.85 | lr 9.97e-04|
| epoch  16 | time 18.23s | loss 0.6722 | train_acc 76.90 | val_acc 76.49 | lr 9.97e-04| best
| epoch  17 | time 18.22s | loss 0.6636 | train_acc 77.20 | val_acc 75.68 | lr 9.96e-04|
| epoch  18 | time 18.23s | loss 0.6590 | train_acc 77.15 | val_acc 75.38 | lr 9.96e-04|
| epoch  19 | time 18.21s | loss 0.6566 | train_acc 77.30 | val_acc 75.78 | lr 9.95e-04|
| epoch  20 | time 18.24s | loss 0.6413 | train_acc 77.91 | val_acc 77.45 | lr 9.94e-04| best
| epoch  21 | time 18.21s | loss 0.6446 | train_acc 77.72 | val_acc 76.28 | lr 9.94e-04|
| epoch  22 | time 18.24s | loss 0.6361 | train_acc 78.12 | val_acc 77.43 | lr 9.93e-04|
| epoch  23 | time 18.22s | loss 0.6263 | train_acc 78.56 | val_acc 76.25 | lr 9.93e-04|
| epoch  24 | time 18.26s | loss 0.6253 | train_acc 78.71 | val_acc 76.72 | lr 9.92e-04|
| epoch  25 | time 18.26s | loss 0.6208 | train_acc 78.74 | val_acc 76.84 | lr 9.91e-04|
| epoch  26 | time 18.25s | loss 0.6153 | train_acc 78.69 | val_acc 79.02 | lr 9.90e-04| best
| epoch  27 | time 18.26s | loss 0.6157 | train_acc 78.94 | val_acc 77.10 | lr 9.90e-04|
| epoch  28 | time 18.24s | loss 0.6095 | train_acc 79.02 | val_acc 78.50 | lr 9.89e-04|
| epoch  29 | time 18.23s | loss 0.6017 | train_acc 79.30 | val_acc 76.39 | lr 9.88e-04|
| epoch  30 | time 18.23s | loss 0.6002 | train_acc 79.36 | val_acc 79.50 | lr 9.87e-04| best
| epoch  31 | time 18.23s | loss 0.5955 | train_acc 79.34 | val_acc 78.43 | lr 9.86e-04|
| epoch  32 | time 18.22s | loss 0.5972 | train_acc 79.45 | val_acc 78.66 | lr 9.85e-04|
| epoch  33 | time 18.25s | loss 0.5932 | train_acc 79.51 | val_acc 79.15 | lr 9.84e-04|
| epoch  34 | time 18.21s | loss 0.5954 | train_acc 79.42 | val_acc 79.45 | lr 9.83e-04|
| epoch  35 | time 18.24s | loss 0.5848 | train_acc 79.86 | val_acc 78.88 | lr 9.82e-04|
| epoch  36 | time 18.25s | loss 0.5879 | train_acc 79.59 | val_acc 79.99 | lr 9.81e-04| best
| epoch  37 | time 18.25s | loss 0.5784 | train_acc 80.06 | val_acc 80.09 | lr 9.80e-04| best
| epoch  38 | time 18.23s | loss 0.5792 | train_acc 80.14 | val_acc 79.59 | lr 9.79e-04|
| epoch  39 | time 18.19s | loss 0.5752 | train_acc 80.30 | val_acc 79.82 | lr 9.78e-04|
| epoch  40 | time 18.24s | loss 0.5723 | train_acc 80.47 | val_acc 79.04 | lr 9.77e-04|
| epoch  41 | time 18.20s | loss 0.5654 | train_acc 80.67 | val_acc 80.44 | lr 9.76e-04| best
| epoch  42 | time 18.25s | loss 0.5676 | train_acc 80.40 | val_acc 77.47 | lr 9.74e-04|
| epoch  43 | time 18.25s | loss 0.5720 | train_acc 80.33 | val_acc 78.77 | lr 9.73e-04|
| epoch  44 | time 18.25s | loss 0.5659 | train_acc 80.64 | val_acc 81.11 | lr 9.72e-04| best
| epoch  45 | time 18.19s | loss 0.5580 | train_acc 80.77 | val_acc 80.77 | lr 9.70e-04|
| epoch  46 | time 18.24s | loss 0.5653 | train_acc 80.54 | val_acc 77.77 | lr 9.69e-04|
| epoch  47 | time 18.23s | loss 0.5585 | train_acc 80.76 | val_acc 80.32 | lr 9.68e-04|
| epoch  48 | time 18.25s | loss 0.5573 | train_acc 80.83 | val_acc 80.23 | lr 9.66e-04|
| epoch  49 | time 18.20s | loss 0.5568 | train_acc 80.83 | val_acc 81.57 | lr 9.65e-04| best
| epoch  50 | time 18.25s | loss 0.5510 | train_acc 81.24 | val_acc 79.08 | lr 9.63e-04|
| epoch  51 | time 18.23s | loss 0.5537 | train_acc 80.88 | val_acc 79.08 | lr 9.62e-04|
| epoch  52 | time 18.26s | loss 0.5494 | train_acc 81.05 | val_acc 80.01 | lr 9.60e-04|
| epoch  53 | time 18.22s | loss 0.5445 | train_acc 81.11 | val_acc 80.24 | lr 9.59e-04|
| epoch  54 | time 18.21s | loss 0.5501 | train_acc 81.27 | val_acc 80.30 | lr 9.57e-04|
| epoch  55 | time 18.24s | loss 0.5432 | train_acc 81.50 | val_acc 81.13 | lr 9.56e-04|
| epoch  56 | time 18.22s | loss 0.5414 | train_acc 81.41 | val_acc 79.70 | lr 9.54e-04|
| epoch  57 | time 18.26s | loss 0.5398 | train_acc 81.52 | val_acc 80.42 | lr 9.52e-04|
| epoch  58 | time 18.26s | loss 0.5357 | train_acc 81.60 | val_acc 80.29 | lr 9.51e-04|
| epoch  59 | time 18.23s | loss 0.5325 | train_acc 81.65 | val_acc 80.41 | lr 9.49e-04|
| epoch  60 | time 18.25s | loss 0.5295 | train_acc 81.71 | val_acc 79.59 | lr 9.47e-04|
| epoch  61 | time 18.27s | loss 0.5349 | train_acc 81.64 | val_acc 82.20 | lr 9.46e-04| best
| epoch  62 | time 18.21s | loss 0.5257 | train_acc 82.18 | val_acc 80.04 | lr 9.44e-04|
| epoch  63 | time 18.23s | loss 0.5274 | train_acc 81.83 | val_acc 81.54 | lr 9.42e-04|
| epoch  64 | time 18.23s | loss 0.5293 | train_acc 81.90 | val_acc 80.62 | lr 9.40e-04|
| epoch  65 | time 18.25s | loss 0.5184 | train_acc 82.05 | val_acc 80.90 | lr 9.38e-04|
| epoch  66 | time 18.27s | loss 0.5221 | train_acc 82.06 | val_acc 80.71 | lr 9.36e-04|
| epoch  67 | time 18.18s | loss 0.5201 | train_acc 82.12 | val_acc 81.12 | lr 9.34e-04|
| epoch  68 | time 18.25s | loss 0.5127 | train_acc 82.19 | val_acc 81.70 | lr 9.32e-04|
| epoch  69 | time 18.24s | loss 0.5193 | train_acc 82.16 | val_acc 80.76 | lr 9.30e-04|
| epoch  70 | time 18.27s | loss 0.5143 | train_acc 82.13 | val_acc 81.09 | lr 9.28e-04|
| epoch  71 | time 18.19s | loss 0.5152 | train_acc 82.18 | val_acc 81.80 | lr 9.26e-04|
| epoch  72 | time 18.18s | loss 0.5090 | train_acc 82.42 | val_acc 81.67 | lr 9.24e-04|
| epoch  73 | time 18.23s | loss 0.5121 | train_acc 82.36 | val_acc 82.30 | lr 9.22e-04| best
| epoch  74 | time 18.23s | loss 0.5124 | train_acc 82.37 | val_acc 81.33 | lr 9.20e-04|
| epoch  75 | time 18.24s | loss 0.5074 | train_acc 82.72 | val_acc 81.93 | lr 9.18e-04|
| epoch  76 | time 18.28s | loss 0.5068 | train_acc 82.60 | val_acc 81.72 | lr 9.16e-04|
| epoch  77 | time 18.23s | loss 0.5025 | train_acc 82.84 | val_acc 81.31 | lr 9.14e-04|
| epoch  78 | time 18.23s | loss 0.5112 | train_acc 82.56 | val_acc 82.90 | lr 9.11e-04| best
| epoch  79 | time 18.21s | loss 0.4964 | train_acc 83.11 | val_acc 81.10 | lr 9.09e-04|
| epoch  80 | time 18.26s | loss 0.5030 | train_acc 82.68 | val_acc 80.79 | lr 9.07e-04|
| epoch  81 | time 18.23s | loss 0.5007 | train_acc 82.74 | val_acc 80.12 | lr 9.05e-04|
| epoch  82 | time 18.26s | loss 0.5005 | train_acc 82.76 | val_acc 81.30 | lr 9.02e-04|
| epoch  83 | time 18.25s | loss 0.5025 | train_acc 82.72 | val_acc 81.65 | lr 9.00e-04|
